External ID,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250,k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_clostridioforme,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_253,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_242,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens
CSM67UBB,0.44757,0,0,0,0,0.05038,0.00841,0,0,0,2.02606,0,0,0,0.04649,0,0.61769,14.82773,0.05999,0,0,0,0,0,50.05805,0,0,0,0,0
PSM6XBUO,0,5.96068,0,0.54947,0.02404,0,0.02175,0.12366,0.29897,2.27216,0.06159,3.61568,0.0506,0.01214,0,0,0.03158,0,0.06201,0,0,0,0,0,0,0.03659,0,0,0.00248,0
CSM9X1ZC,1.15227,0,0,0.50463,0,0.01922,0.59228,0.01712,0.00301,0,0,0,0,0,0,0,1.6344,0,0,0.41403,0,0,0,0,0,0,0,0,0,0
HSMA33M8,0,0.15467,0,0.50556,0,0.15692,0,0.01101,0,0,0.00576,0,0,0.00529,0.01807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSM6J2OP,0,2.41641,0,0,0,0,0,0.12972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03832,0
CSM5MCY8,0.00886,0.4427,0,0,0,0.71001,0.05253,0,0.34802,30.89565,0.96518,4.56708,0,0,0.1309,0.44152,0.01725,0,0,0,0,0.02983,0,0,9.42457,0,0.08923,0,0,0.063
CSM7KOJO,0,0,0,0,0,0,0,0,0,0,0,0,0.07723,42.497,0,0,0,0,0,0,0,0.16109,0,0,0,0,0,0,0,0
HSMA33NQ,75.96712,0,0.15476,0,0.06398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03084,0.06436,0,0.06018,0,0,0,0,0,0,0
CSM7KOTK,0.0901,0,0,1.75316,0,1.76802,0,0,1.05111,0,6.86519,0.30704,0,0,0.03494,0,0,1.52716,0.36868,0,0,2.11053,0.02105,0,0.13128,0,0,0,0,0.48483
MSM79HAJ,2.31125,0,0,0.19017,0.03531,0,0.13185,0.19731,0.02095,1.23119,0.57669,0.01804,0,0,0,0,4.67807,0.22211,0.18156,0.31007,1.02414,0,0,0.10887,0.59474,0.09015,0,0.54806,0,0
HSM6XRVC,1.91042,0,0,0,0,0.0133,0.09925,0,0.00144,0,1.73933,0,0,0.00976,0.00333,0,0.00088,8.38238,0.13248,0,0.67646,0,0,0,20.32486,0,0,0,0,0
MSM9VZHR,0,0,0,0,0,0,0.03633,0,0.43235,38.06548,0,2.81346,0.02448,0.33626,0.00661,0,0,0,0.24974,0,0.36208,0,0,0,0,0.12693,0,0,0,0.072
MSM9VZME,0,1.69478,0.05117,0.4388,0,0.07445,0.02736,0.06806,0,0,0,6.10425,0,0,0.1384,0,0,0,0.03439,0,0.73928,0.03812,0,0,0,0,0,0,0,0
PSM6XBSE,0,5.35909,0,0,0,0,0,1.51032,0,0,0,0,0.02176,0.32068,0,0,0,0,0,0,1.35956,0,0,0,0,0,0,0,0,0
HSM7CYX2,0.01044,3.06537,0.41424,0,0,0,0,0.20302,0,0,0,0,0.35703,0.4372,0,0,0,0,0,0,0.01531,0,0.00458,0,0,0.32697,0.00877,0,0,0
MSM9VZOU,0,43.22087,0,0,0,0,0,0,0,0,0,0,0.02996,0.01702,0,0,0,0,0,0.81703,0,0,0,0,0,0,0,0,0,0
HSMA33JP,0.11713,0,0,0.85305,0,0.2951,0,0,0.32294,8.53305,34.94926,0,0,0,0.00611,0,0.12763,0,0,0,0.58961,0.00754,0.002,0,0,0,0,0,0,0.01985
HSM5MD6A,0,9.44747,0,0.70748,0,0.50508,0.04999,0,0,0,1.25162,4.70982,0,0,0,0,0,0,0,0,2.41604,0,0,0,0,0.09843,0,0,0,0
HSM5MD73,0,2.41558,0.05577,2.56801,0,0,0.00407,0.05515,0.12718,0,0,0,0,0.20123,0.01836,0,0,0,0.20245,0,0.17597,0.0365,0,0,0,0,0,0,0,0
CSM5MCVN,0,12.06973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18219,0,0,0,0,0,0,0,0
HSMA33MI,0,0,1.03318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11671,0,0,0,0,0,0,39.74241,0,0,0,0,0
HSM5MD43,0,6.02002,0.02648,0,0,0.58452,0,0.03198,0,9.25949,0,0,0,0.01689,0.03667,0,0.05438,0,0.08969,0,1.32432,0,0,0,15.01945,0,0,0,0,0
CSM67UFZ,0,0.25615,0.01253,0.17365,0,0,0,0.00666,0.12554,0,0.02471,5.71064,0,0,0.00751,0.31228,0.00431,0,0.09605,0,0,0,0,0,22.4225,0,0.04363,0,0,0
CSM7KOLE,0,0,0,0.95081,0,0.04986,0,0,0,0,0.04411,9.60295,0,0,0.05941,0,0.61333,0,0.15156,0,0.28068,0,0,0,3.39082,0,0.01139,0,0,0.03094
HSM7J4G1,0.01711,27.30759,0.14825,0.16099,0,0.13644,0.16512,0.1978,0,15.62665,0.34468,1.34973,0,0,0,0.03999,2.09723,0,0.01318,0,0.06532,0,0,0,6.34727,0,0,0,0,0
PSM7J16Y,7.37502,0.69418,0.26378,2.69567,0,0,0,0.18344,0.9008,0,1.89478,8.88267,0,0,0.25944,0,1.72656,0,0.49823,0,0,0,0.00272,0,0,0,0,0,0.00909,0.0118
HSM7J4KK,1.2349,16.51023,1.35949,1.60568,0,0,0.1481,1.8351,0.34579,0,0.0473,5.18833,0.00969,0,0.02786,0,0.31237,1.58082,0.14482,0,0,0,0.00623,0,2.95379,0,0,0,0,0
CSM5MCZ3,0,0,0,4.76638,0,0.34226,0,0.20982,0.37746,53.51956,0,0,0,0,0,0.00549,0,0,0,0.40793,0,0,0,0,0,0,0,0,0,0
PSM6XBVM,0,4.41756,0,1.65492,0,0,0,0,0.0084,0,1.08017,0,0,0.46019,0,0.04914,0,0,0,0,1.23938,0,0,0.082,0,0.02,0,0,0,0
HSMA33OJ,0,0.27191,0,0.09773,0,1.38301,0.0281,0.01121,0.00185,0,0.00451,0,0,0,0.05894,0.00301,0.06572,0,0,0,0,0,0,0,0,0,0,0,0,0
MSM79HDA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34408,0,0,0,0,0,0,0,0,0,0,0,0.03371,0,0,0,0
CSM79HJS,0,0.73189,0,0,0,0.11679,0.24531,0,0,12.39647,0,2.96461,0,0,0.06415,0,0.00604,0,0,0.0392,0.25406,0.02918,0,0,0.38076,0,0,0,0,0.11286
MSM6J2R8,0.01715,0.54911,0.08808,0.42298,0,0,0,0.02452,0,0.04668,0.02913,0.04083,0.00986,0,0,0,0.02742,0,0.05212,0,0,0,0,0,0.06995,0,0,0,0.02087,0
MSM6J2Q3,0,0,0.26525,0,0,0,0.05262,0,0,0,0,4.64011,0,0,0.31536,0.01298,0.0371,0,0,0,0,0.23534,0,0,2.89671,0,0,0,0,0.03694
HSM7CYXA,0.27965,9.97624,0.01893,0,0.03823,0,0.03145,0,0,0,0,0,0.10532,0.09608,0,0,0,0,0,0,0.03883,0,0.07778,0,0,0.22453,0,0,0,0.28232
HSM67VFR,0,0,0.34738,0,0,0,0,0,0,0,0,0,0,0.01706,0,0,0,0,0,0,0.67386,0.12745,0,0,14.01895,0,0,0,0,0
MSM9VZKE,0,0,0.00641,0.65265,0,0,0.00828,0.00131,0.72592,0,0.00456,6.71009,0,0,0,0,0,0,0.04506,0,0.01583,0,0.02527,0,0,0,0,0,0.00507,0.01247
PSMB4MBK,0,0,0,0,0.0647,0,0,0.00317,0,0,0,0,0,0,0,0,0,2.05214,0,0,0.65518,0.02612,0.02891,0,1.2894,0.00374,0,0,0,0
MSMA26EJ,0,0,0,0,0,0,0,0,0,0,0,0,0.11857,0,0,0,0,0,0,0,0,0,0,0.17567,0,0,0,0,0,0
PSM7J141,0,0,0,0,0,0,0,0,0,24.20602,0,0.04661,0,0.00152,0,0,0,4.29305,0,0,0,0,0,0,29.55606,0,0,0,0,0
HSM5MD4O,0,6.61105,0.03506,0.83183,0,0.78642,0,0.10861,0.20778,0,0,3.40629,0,0.14333,0.03733,0.04362,0.01089,0,0.23444,0,0,0,0,0,0,0.02091,0,0,0,0
MSM9VZF7,0,0,0.3563,0,0.008,0.02622,0.28962,0.00054,0,0,0.02702,6.52266,0,0,0,0,9.5144,0,0.29685,0.44811,0.00739,0,0,0,0,0,0,0,0,0
HSMA33QO,0.09919,0,0.04418,0.17547,0,0,0.00954,0,0,0,0.03321,3.70212,0,0,0.00966,0,0,0,0.25061,0,0.13052,0,0,0,1.28799,0,0,0.11412,0,0.03002
PSMA266C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSM9VZGO,0,0,0.06312,0.49057,0,0,0,0.10356,0.03884,0,0.0284,1.38288,0,0,0,0,0,1.13786,0.03161,0,0,0,0,0.12497,1.11258,0,0,0,0.05525,0
CSM7KOLK,0.07361,2.18931,0,0.79182,0,0,0,0,0,12.84486,6.72669,1.84628,0,0,0,0,17.33615,0,0.39684,0,0,0,0,0,14.82863,0,0,0,0,0.04726
ESM718UH,0.05402,0.02469,0.05415,0.40584,0,0,0.00541,0.02854,0.15064,25.57826,0.05005,2.89621,0,0.02671,0.01099,0,0,0,0.29249,0,0.00268,0,0,0,31.71937,0,0,0,0,0
PSM7J12R,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8321,0.00745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM7KOKN,0,0,0,0.2944,0,0,0,0.00934,0,0,0.10943,1.52281,0.01398,0.31248,0,0,0.79565,0,0.05166,0,0,0,0,0,15.94764,0,0,0,0,0
HSM67VFZ,0.0135,0,0.02009,0,0,0,0.23211,0.06172,1.76297,0.03626,2.61576,0.25332,0,0.06928,0.04781,0,0,0,0,0,0.04,0,0.06352,0,4.89058,0.16289,0,0,0,0.44982
HSM7CZ32,0,0,0,0.00249,0,0,0,0,0,0.20074,0.37703,0,0,4.33014,0,0,0,0,0,0,0,3.56849,0.00137,0,15.36012,0,0,0,0,0
MSM9VZES,0,0.00951,0.03731,0.76152,0,0,0,1.31496,0.05672,0,8.9346,0,0,0,0,0.01526,12.1164,0,0,0,0,0,0.1187,0,12.29203,0,0,0,0,0
HSM5MD7J,0,0.77765,0.18175,0,0,0.01991,0,0,0,0,0.25613,1.45463,0,0.00481,0.00062,0,0,0,0,0,0,0.00163,0,0,0,0,0,0,0,0
MSM79HDE,0,0,0,0,0,0,0,0,0,0.00272,0,0,0.33532,0.04114,0,0,0,0,0,0,0,0,0,0,0,0.00222,0,0,0,0
PSM7J193,0,0.04408,0,0,0,0.12984,0,0,0,0,0,0,0,0,0,0.00224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSM6J2HF,0,3.43773,0,0,0,0,0,0.31945,0,0,0.02793,0.05913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM9X21J,0,0,0.52734,0,0,0.48504,0,0.05896,0,0.00481,0.66627,0,0,0.01869,0,0,0,0,0,0,0,0,0,0.17245,15.00973,0.00955,0.02091,0,0,0
CSM5MCX3,0,0.56994,0.86128,0.62407,0,0.01674,0,0.10332,0.00952,0,0.66168,2.27387,0,0,0,0.04956,0,0,0.03672,0,0,0,0,0,5.99267,0.00332,0.04934,0,0,0
MSMA26DO,0,0,0.24737,0.22189,0,0,0,0.00948,0,7.93538,0.14381,0.87131,0,0,0.01863,0,0,0,0.00446,0,2.01268,0,0,0,6.18554,0,0,0.00885,0,0
HSMA33RX,0,0,0,0,0,0.47376,0,0,0,0,0.18403,0,0,0,0,0,0,0.50231,0.09585,0,0.03099,0,0.01488,0,14.73126,0,0,0,0,0
HSM6XRQM,0,0.61352,0,0,0.00337,0,0.40199,0,0,0,0,10.40234,0,0,0,0,0,0.69593,0,0,0.04935,0,0.02199,0,0,0,0,0,0.01436,0
MSM9VZFR,0,0,0.01063,0.26316,0,0,0,0,0.11226,0,0.00686,4.24296,0,0,0,0,0,0,0.12456,0,0,0,0,0,0,0,0,0,0,0.00067
HSM6XRQW,0,1.79406,0,0,0,0,0,0,0,0,0,0,0.00333,0.36666,0,0,0,0,0,0,0,0.03106,0,0,54.81176,0,0,0,0,0
HSM7J4JZ,0,0,2.2156,0,0,0.48721,0,0.92943,0,0,0,1.31509,0,0,0,0,0,0.38573,0,0,0,0,0,0,8.39862,0.1506,0,0,0,0
HSM7J4PE,0,0,0,0.21821,0,0,0,0.01661,0.18083,0,0.00996,0.93056,0.2672,0.01935,0,0,0.44442,0.85291,0.05371,0,0.48771,0,0,0,12.57713,0.19766,0,0.02278,0,0
PSM6XBRK,0,0,0,0,0,0,0,0.0043,0.10092,1.29922,0,0,0,0.01192,0.01414,0,0,2.78078,0.01635,0,0,0,0,0,12.35134,0,0,0,0,0
CSM79HI7,0,0,0,0,0,0,0,0,0,0,0,0,0,25.27843,0,0,0,0,0,0,0,2.18267,0,0,0,0,0,0,0,0
CSM67UAG,0,0,0,0,0,0,0,0,0,0,0,0,0.36601,17.73943,0,0,0,0,0,0,0,12.05582,0,0,0,0.14013,0,0,0,0
ESM5MEBA_P,0,0,0,0,0,0.0646,0,0,0,0,0,0,0,0.01525,0,0,0,0,0,0,0.05365,0,0,0,0.00627,0,0,0,0,0
CSM79HL4,0,0.10788,0,0,0,0.16897,0,0.03571,0,0,0,0,0,0,0.03368,0,0,2.96764,0,0,0.2763,0,0,0,6.02725,0,0.07769,0,0,0.01153
MSM5FZA2_P,1.95948,0,0,0,0.79859,0,0,0.20287,0,0,0,0,0,0.09141,0,0,0,0,0,0,0,3.909,0.25361,0,0,0,0,0,0,0.11599
CSM5FZ4E_P,0,0,0,0.29386,0.0067,0,0,0.20361,0.00729,14.03921,1.72139,6.51298,0,0,0.09613,0,0.34085,0,0,0,0.05596,0.04849,0.03899,0,0,0,0,0,0,0
CSM79HL6,0,0.18335,0,0,0,0.83923,0.00205,0.17607,0,0,0,0,0,0,0.08788,0,0,3.11156,0,0,0.23107,0,0,0,5.2734,0,0.09423,0,0,0.00672
PSM7J13I,0,2.19007,0.94785,2.55569,0,0,0,0.00193,0,19.49192,1.0014,4.13336,0,0.08736,0,0,0,0,0.21465,0,0,0,0,0,0,0,0,0,0,0
HSMA33S4,0,2.8383,0,0,0,0,0.06203,0.01351,0,0,1.68987,9.24411,0,0.04833,0.01257,0,0,0,0,0,0.04052,0,0,0,0,0,0,0,0,0.00535
HSM67VHH,12.92574,28.11449,0.54962,0,0,0.048,0,0.00166,0,0,4.36515,0,0,0,0,0.01139,0,0,0,0,0,0.03592,0,0,20.74307,0,0,0,0,0
HSM7J4QH,0,3.86604,0,0,0,0,0,0.48951,0,0,0,0,0,5.39612,0,0,0,0,0,0,4.24942,0,0,0,0,0.31138,0,0,0,0
PSM6XBT5,0.30073,0.02824,0,0,0,0.1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSM6J2OJ,0,1.9494,0,0.26598,0,0,0.00124,0.46728,0.01273,0.13343,0.55607,0.82217,0,0.00409,0,0,0.01209,0,0.00145,0,0,0,0,0,0,0,0,0,0.0086,0
PSMA264W,0,0,0,0,0.06026,0,0,0,0,0,0,0,0,0.01746,0,0,0,1.81793,0,0,0.22849,0,0,0,1.65505,0.0023,0,0,0,0
HSM7CZ1T_P,0.12604,2.24334,0.04262,0.83566,0.00271,0.54206,0.02765,0.13651,0,0,0.81979,0,0,0,0.00291,0,0,0,0.13664,0.05365,0,0,0,0,18.56851,0,0,0.52104,0.00481,0.04243
MSM79H7O,0,0,0.00559,0.57727,0,0,0.00386,0,0,0,0.12065,2.79893,0,0,0,0,0.0665,0,0.16412,0,0,0,0,0,2.25787,0,0,0.00793,0.03429,0
HSM67VFX_P,0.02418,0,0.00401,0,0.02022,0.04358,0.34179,0.05086,0.43935,0,0.64817,0,0.01845,0,0.35323,0,0,0,0,0,0,0,0.06958,0,1.36587,0.05874,0,0,0,0.32173
HSM7CZ3C,0.08064,0,0.01141,0.6475,0,0.24465,0.19243,0,0,0.46904,0.11008,4.2437,0,0,0.02529,0,0.00527,0,0.10413,0,0.4872,0,0,0,7.8489,0,0,0,0,0
HSMA33JD,0.17418,0,0.69654,0.90522,0,0.18224,0.02966,0.56929,0.72047,0.14679,5.17764,11.50613,0,0,0.08029,0,0,0,0.23063,0,0.04152,0,0.00344,0,3.80744,0,0,0,0,0
PSMA265F,0,0,0,0,0.35135,0,0,0,0,0,0,0,0,0.17925,0,0.17341,0,0,0,0.13029,0.57584,0,0.85095,0,0,0.01861,0,0,0,0
CSM7KOKH_P,0,0,0,0.36647,0,0,0,0.0036,0,0.04152,0.48942,2.8182,0,0,0.0331,0,0.01325,0,0,0,0,0,0,0,14.91161,0,0,0,0,0.03395
PSM7J19N,0.97108,0.59645,0.05935,0.81209,0.00695,0,0.01406,0.03412,0.15347,0,0.42269,2.58545,0,0,0.02517,0,1.56131,0,0.0884,0,0.4851,0,0,0,0,0,0,0,0,0.00424
CSM5MCWA_P,0.57545,0.01951,0.00518,0.03969,0,0.02971,0.0125,0.00159,0,0.09926,0.07575,0.33274,0,30.66187,0,0,0.19957,0.09063,0,0,0,0,0,0,0.96256,0,0,0,0,0
PSM7J169,0,0.05262,0,0,0,0.35911,0,0,0,0,0,0,0,0,0,0.00188,0,0,0,0,0.16865,0,0,0,0,0,0,0,0,0
MSM79H69,0,0,0.11865,0,0,0,0.06263,0,0,0,0,4.99214,0,0,0.60097,0.01645,0.33017,0,0,0,0.53565,0.28804,0.07336,0,10.87733,0,0,0,0,0.08992
MSMA26BL,0,0,0.00668,1.12757,0,0,0,0,0.01596,27.53639,0.25859,3.4368,0,0.05057,0.03554,0,0.00091,1.20121,0.04823,0,1.41401,0,0,0,0.24791,0.02398,0,0,0,0
HSM67VGI_P,0.75564,0,0,0.94871,0,0,0.76117,0,0.13601,0,4.71586,6.99238,0,0,0.02412,0,0.15755,0,0,0,0,0,0,0,2.71651,0,0,0,0,0
CSM67U9R_P,0,0,0,0,0,0,0.20311,0.08498,0,5.55426,0,0,0,0,0,0,0.10276,0,0,0,0,0,0,0,6.05825,0,0,0,0,0.7829
CSM79HM7,0.00157,1.20021,0.00901,0,0,0.00168,0.00543,0.64199,0.02376,0,0.03097,0,0.006,0.03061,0,0,0,0,0.62513,0.00321,0.02001,0,0,0,9.47487,0.12926,0,0,0,0.02637
CSM79HO1,1.18813,0.30305,0,0,0,0.10119,0,0,0,14.08856,0.52984,3.17244,0,0,0.01207,0,0.16057,0,0,0,0,0,0,0,21.36704,0,0,0,0,0.10148
PSMA266O,0,4.89395,0.18731,1.20099,0.40084,1.84171,0,0,0.42702,36.62322,0.13062,4.47226,0,0,0,0,0,0,0.01749,0,0.06705,0,0.01516,0,0,0,0,0,0,0
CSM79HJA,0,0,0,0.56022,0,0.00184,0.08375,0.00298,0,0,0.44793,4.97457,0,0,0.04225,0,0.45104,0,0,0,0,0,0,0,12.47214,0,0,0,0,0
HSM7J4N8,0,1.12155,0.0037,0.3326,0,0,0,0.0005,0.00487,0,0.02245,1.5868,0,0,0.0787,0,0,0,0.02315,0,0,0,0,0,0,0,0,0.02527,0,0.00558
HSMA33R1,0,1.68104,0,0,0,0,0,0.01962,0,0,3.00503,12.01181,0.02282,0.01429,0.0096,0,0,0,0,0,0,0,0,0,0,0.02941,0,0,0,0
HSM7J4JD,0,4.55269,0.24277,1.38737,0,0.02042,0,0,0,0,0.00041,0.03958,0,0.1076,0,0,0,0,0.0459,0,0,0,0,0,0,0,0,0,0,0
MSM5LLI2_P,0.00807,8.43785,0,0,0.01231,0,0,0,0,0,0.68674,6.28537,0,0,0.00423,0,0.92663,0,0,0,0.18678,0,0,0,60.19209,0,0,0,0,0
MSMAPC6C,0,4.25395,0,0.93766,0.01427,0.02226,0.16162,0,0.03295,0,0,11.70842,0,0,0.51451,0,0.07683,0,0,0,0,0,0.01085,0,0,0,0,0,0,0
HSM7CYZV,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSM5MD6M,0,0,0,0,0,0.00078,0.02167,0,0,0,1.25612,0,0,0,0.01883,0,0,5.65623,0.02912,0,0,0,0,0,53.91029,0,0,0,0,0
HSMA33MK,0,0,1.3194,0,0,0.04495,0,0.08875,0,0,0.0804,0.19628,0,0,0,0,0,3.44199,0,0,2.39655,0,0,0,9.62207,0,0,0,0,0
MSMA267X,0.06336,0,0.26764,1.57857,0.00583,0.0294,0.03067,0.09337,0.13361,5.86076,0.18921,3.74187,0,0,0,0,33.17483,2.56973,0.6333,0,0.21524,0,0,0.05512,6.74788,0,0,0.17981,0,0
HSMA33KO,0,6.14716,0.15629,2.10474,0,0.05333,0,0,0.03591,0,0.06919,0,0,0,0,0.00763,0,0,0.13515,0,0,0,0,0,0,0,0,0,0,0
MSM9VZGU,0.04951,0,0.18306,0.68481,0,0,0,0.16777,0.03779,0,0.01271,1.15838,0,0,0.00449,0,0,1.89556,0.01389,0,0,0,0,0.01057,0.10377,0,0,0,0.19318,0
MSM9VZF3,0,34.52839,0,0,0,0,0,0,0,0,0,0,0.16938,0.0382,0,0,0,0,0,0.00469,0.19199,0,0,0,0,0.04956,1.75381,0,1.38329,0.03935
HSM5MD7U,0.0216,12.62968,0.19871,0,0.07929,0,0.98492,0,0,0,0,0,0,1.05284,0,0,0,0,0,0,1.18107,0,0,0,0,0.02048,0,0,0,0.26272
HSM5MD87_P,0,1.17476,0.02486,0,0.00917,3.45847,0.0056,0,0,13.58362,0,0,0.04445,0.27693,0.01101,0.03712,0.33686,0,0.07215,0,0.23026,0,0,0,7.55011,0.13633,0,0,0,0
MSM7J16J,0,0,0.17573,0.91424,0,0,0,0.00302,0.00103,0,3.63862,0,0,0,0,0.04078,16.78526,0,0,0,0.19041,0,0.23336,0,9.38046,0,0,0,0,0
PSMA265D,0,0,0,0,0.14367,0,0,0,0,0,0,0,0,0.17548,0,0,0,0,0,0.42798,0.4484,0.00566,0,0,0,0.0018,0,0,0,0
MSM5LLGR_P,0,0,0.28098,0.00367,0.00707,0,0.1709,0.05115,0,1.38564,0.07877,18.40807,0,0,0.36576,0.01678,0.07661,0,0,0,0,0.00934,0.06545,0,4.67598,0,0,0,0,0.63663
PSM6XBUM,0,6.61858,0,2.80876,0,0,0,0.03106,0.56808,1.53576,0.83263,11.89792,0,0.05149,0.02444,0,0.06967,0,0.10098,0,0,0,0,0.05369,0,0,0,0,0.0072,0
HSM7J4LF,0,0,0.00147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.99678,0,0,0,0,0
HSM5MD7K,0.0747,9.3584,0,0,0.02132,0.0109,0.24181,0,0,0,0.03552,0,0,0.08397,0,0,0,0.3589,0,0,0,0,0,0,2.07663,0.01074,0.06859,0,0,0
CSM79HLC,0,0,0,0,0.00664,0.06115,0.06582,0,0,0.08193,0,0.04643,0,0,0.15795,0,0,0,0,0,0,0.00105,0.03679,0,36.16391,0,0.24403,0,0,0.65799
CSM79HM1,0.05095,2.36724,0.06538,0,0,0.00927,0,1.72999,0.1559,0,0.04701,0,0.00723,0.24156,0,0,0,0,0.79714,0,0.02813,0,0,0,17.24867,0.29256,0,0,0,0
MSM79H5S,0,1.29162,0.14174,0,0,0,0.27151,0.00853,0.15017,0,0.70084,4.74879,0,0,0.07814,0,0,0,0.01946,0,0,0,0,0,12.49425,0,0.0424,0.03828,0,0
